AUDNZD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/28/2024 00:00,1.111413392584684,1.11339,1.10926,1.11273,13.16607415316,0.12,
07/26/2024 00:00,1.11043,1.113663924486251,1.10698,1.10698,-34.5,-0.31,
07/25/2024 00:00,1.10927,1.111528255528255,1.09877,1.11045,11.8,0.11,
07/24/2024 00:00,1.11081,1.113700940452283,1.08627,1.10927,-15.4,-0.14,
07/23/2024 00:00,1.1107,1.112448553134598,1.09741,1.110691788445891,-0.08211554109,0.00,
07/22/2024 00:00,1.11148,1.112762669951424,1.10767,1.11073,-7.5,-0.07,
07/21/2024 00:00,1.110006550919483,1.112557168522936,1.10729,1.111518824179319,15.12273259836,0.14,
07/19/2024 00:00,1.109339804783868,1.112905330387136,1.1079,1.1115,21.60195216132,0.19,
07/18/2024 00:00,1.10684,1.1123,1.0149,1.10943,25.9,0.23,
07/17/2024 00:00,1.10881,1.11058,1.10521,1.10689,-19.2,-0.17,
07/16/2024 00:00,1.11292,1.11503,1.10876,1.10888,-40.4,-0.36,
07/15/2024 00:00,1.11072,1.11356,1.10947,1.11289,21.7,0.19,
07/14/2024 00:00,1.1074,1.1109,1.10713,1.11073,33.3,0.30,
07/12/2024 00:00,1.110612399637137,1.111877942675148,1.10102,1.10111,-95.02399637137,-0.86,
07/11/2024 00:00,1.10904,1.111496890766045,1.07655,1.110541411418764,15.01411418764,0.14,
07/10/2024 00:00,1.10025,1.110562368270543,1.09736,1.10897,87.2,0.79,
07/09/2024 00:00,1.09979,1.102010692597062,1.08456,1.10023,4.4,0.04,
07/08/2024 00:00,1.09853,1.09986,1.09789,1.09979,12.6,0.11,
07/07/2024 00:00,1.09677,1.09864,1.09611,1.0985,17.3,0.16,
07/05/2024 00:00,1.100033695702719,1.101203113941967,1.09628,1.09637,-36.63695702719,-0.33,
07/04/2024 00:00,1.098885689604648,1.100248973824104,1.09437,1.1,11.14310395352,0.10,
07/03/2024 00:00,1.0956,1.099419482567699,1.0932,1.09887,32.7,0.30,
07/02/2024 00:00,1.097200907569902,1.098966670745905,1.09483,1.09642,-7.80907569902,-0.07,
07/01/2024 00:00,1.09428,1.09735,1.09274,1.09725,29.7,0.27,
06/30/2024 00:00,1.09345,1.09571,1.09281,1.09423,7.8,0.07,
06/28/2024 00:00,1.09297,1.09641,1.0907,1.09434,13.7,0.13,
06/27/2024 00:00,1.092874324393177,1.095030496950305,1.08807,1.092875435552824,0.01111159647,0.00,
06/26/2024 00:00,1.0861,1.09443,1.083,1.09284,67.4,0.62,
06/25/2024 00:00,1.08727,1.08876714113821,1.07685,1.08597,-13.0,-0.12,
06/24/2024 00:00,1.085623482264892,1.091,1.07991,1.08729,16.66517735108,0.15,
06/23/2024 00:00,1.084724702958764,1.086090472680916,1.0829,1.08561,8.85297041236,0.08,
06/21/2024 00:00,1.087853094173988,1.088834194073474,1.08311,1.08518,-26.73094173988,-0.25,
06/20/2024 00:00,1.08722,1.08919,1.07706,1.08779,5.7,0.05,
06/19/2024 00:00,1.084766795855519,1.09021,1.07949,1.0873,25.33204144481,0.23,
06/18/2024 00:00,1.07866,1.084982833244034,1.077,1.08472,60.6,0.56,
06/17/2024 00:00,1.07749,1.079999942036477,1.07553,1.07873,12.4,0.11,
06/16/2024 00:00,1.07423,1.078050637483676,1.07334,1.07749,32.6,0.30,
06/14/2024 00:00,1.07659,1.078947368421053,1.0727,1.07692,3.3,0.03,
06/13/2024 00:00,1.077,1.079,1.07046,1.07646,-5.4,-0.05,
06/12/2024 00:00,1.0751,1.078518433427813,1.0572,1.07698,18.8,0.17,
06/11/2024 00:00,1.0773,1.079,1.07132,1.07515,-21.5,-0.20,
06/10/2024 00:00,1.07795,1.080433394606005,1.073,1.07818,2.3,0.02,
06/09/2024 00:00,1.076912525002799,1.078350474761632,1.07517,1.07794173785986,10.29212857061,0.10,
06/07/2024 00:00,1.07629,1.080294088556263,1.05839,1.05839,-179.0,-1.69,
06/06/2024 00:00,1.07402,1.0791,1.06774,1.07628,22.6,0.21,
06/05/2024 00:00,1.07623,1.077426590720553,1.06415,1.074016638935108,-22.13361064892,-0.21,
06/04/2024 00:00,1.080215154356876,1.08106,1.05847,1.076213008313784,-40.02146043092,-0.37,
06/03/2024 00:00,1.08242,1.08273771856786,1.05903,1.08022,-22.0,-0.20,
05/31/2024 00:00,1.083971439368325,1.08480481696603,1.07941,1.08196,-20.11439368325,-0.19,
05/30/2024 00:00,1.08180290677412,1.0874,1.0679,1.08394,21.3709322588,0.20,
05/29/2024 00:00,1.08256,10843902559.94784,1.0742,1.08188,-6.8,-0.06,
05/28/2024 00:00,1.08189,1.084844046621547,1.0726,1.08253,6.4,0.06,
05/27/2024 00:00,1.08194,1.0896,1.074,1.081618258641914,-3.21741358086,-0.03,
05/24/2024 00:00,1.08273,1.083801341435464,1.07922,1.082187595478155,-5.42404521845,-0.05,
05/23/2024 00:00,1.08498,1.0856,1.0797,1.08263,-23.5,-0.22,
05/22/2024 00:00,1.09403,1.0943,1.07968,1.084967120448299,-90.62879551701,-0.84,
05/21/2024 00:00,1.09245,1.094540897446301,1.08915948590398,1.094003932940039,15.53932940039,0.14,
05/20/2024 00:00,1.09197,1.09442,1.08652,1.09242,4.5,0.04,
05/17/2024 00:00,1.09102,1.092424798851534,1.088,1.090586384637171,-4.33615362829,-0.04,
05/16/2024 00:00,1.09304,1.09402,1.06607,1.091007467389734,-20.32532610266,-0.19,
05/15/2024 00:00,1.09615,1.097799416761876,3.940738E-9,1.09305,-31.0,-0.28,
05/14/2024 00:00,1.09755,1.098971743632517,1.09326,1.096344650083925,-12.05349916075,-0.11,
05/13/2024 00:00,1.096746304118268,1.1002,1.089153693736557,1.09753,7.83695881732,0.07,
05/10/2024 00:00,1.09635,1.099106047437992,1.09462,1.09575,-6.0,-0.05,
05/09/2024 00:00,1.09548,10973360591.78155,1.08297,1.09633,8.5,0.08,
05/08/2024 00:00,1.098634884241873,1.098970530716454,1.0939,1.095487873980297,-31.47010261576,-0.29,
05/07/2024 00:00,1.10249,1.103345750611814,1.09166,1.09868,-38.1,-0.35,
05/06/2024 00:00,1.0992,1.102722949259483,1.0969,1.10215,29.5,0.27,
05/03/2024 00:00,1.10154,1.102346745785627,1.09463,1.09936,-21.8,-0.20,
05/02/2024 00:00,1.10224,1.102825712737454,1.09125,1.1007,-15.4,-0.14,
05/01/2024 00:00,1.101492974949033,1.107844270174311,1.08635,1.10047931250653,-10.13662442503,-0.09,
04/30/2024 00:00,1.09879,1.1057,1.03841,1.101512399349015,27.22399349015,0.25,
04/29/2024 00:00,1.0988,1.101371778969259,1.09261,1.09876,-0.4,0.00,
04/26/2024 00:00,1.09476,1.100525543876803,1.0928,1.099091417853947,43.31417853947,0.39,
04/25/2024 00:00,1.094526493666712,1.0972,1.08123,1.0939,-6.26493666712,-0.06,
04/24/2024 00:00,1.093008317869795,1.098378307827846,1.08159,1.0936,5.91682130205,0.05,
04/23/2024 00:00,1.08949,1.0943,1.08463,1.09305,35.6,0.33,
04/22/2024 00:00,1.089038741410163,1.090718123171383,1.08684,1.08954,5.01258589837,0.05,
04/19/2024 00:00,1.0883,1.0913,1.08384,1.089118889247768,8.18889247768,0.08,
04/18/2024 00:00,1.08876,1.089527636471941,1.08409,1.088343558282209,-4.16441717791,-0.04,
04/17/2024 00:00,1.08835,1.089306190813632,1.06699,1.08875,4.0,0.04,
04/16/2024 00:00,1.09117,1.091968412942989,1.08046,1.088323085117979,-28.46914882021,-0.26,
04/15/2024 00:00,1.089120835006022,1.092255008176353,1.0882,1.091312582133011,21.91747126989,0.20,
04/12/2024 00:00,1.08982,1.1008,1.05912,1.091143613097408,13.23613097408,0.12,
04/11/2024 00:00,1.08906,1.091156636296518,1.08294,1.08981,7.5,0.07,
04/10/2024 00:00,1.09276,1.094234265861648,1.0745,1.08906,-37.0,-0.34,
04/09/2024 00:00,1.09449,1.094767929774281,1.08458,1.092333985962275,-21.56014037725,-0.20,
04/08/2024 00:00,1.09414,1.095268093607024,1.0911,1.0945,3.6,0.03,
04/05/2024 00:00,1.09304,1.095039009777134,1.08936,1.093535337304638,4.95337304638,0.05,
04/04/2024 00:00,1.09206,1.095611596505163,1.0902,1.092998590231755,9.38590231755,0.09,
04/03/2024 00:00,1.09116,1.097,1.0872,1.09204,8.8,0.08,
04/02/2024 00:00,1.089947124274175,1.09503324483671,1.085,1.091096782597369,11.49658323194,0.11,
04/01/2024 00:00,1.091386643842329,1.095091888831185,1.08045,1.0889,-24.86643842329,-0.23,
03/29/2024 00:00,1.09016,1.093071104387292,1.07089,1.09167,15.1,0.14,
03/28/2024 00:00,1.08856,1.091243086357989,1.08356,1.09005,14.9,0.14,
03/27/2024 00:00,1.0874,1.089173441734334,1.08206,1.0885,11,0.10,
03/26/2024 00:00,1.08955,1.090342158031193,1.0859,1.088380065971939,-11.69934028061,-0.11,
03/25/2024 00:00,1.087659629919208,1.09017,1.08545,1.08948,18.20370080792,0.17,
03/22/2024 00:00,1.08681,1.087688294750571,1.0813,1.0857,-11.1,-0.10,
03/21/2024 00:00,1.08344,1.088068212899175,1.08166,1.08679,33.5,0.31,
