BTCUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/30/2024 00:00,66755.4,67179,65846.38,66505.6,-249.8,-0.38,
07/29/2024 00:00,68250,70162,66498,66927,-1323,-1.98,
07/28/2024 00:00,67912.9,68443,67021.8,68244.3,331.4,0.49,
07/27/2024 00:00,67914.7,69529.0,66624.3,67807.5,-107.2,-0.16,
07/26/2024 00:00,65794.2,69000.0,65705.6,67932.0,2137.8,3.15,
07/25/2024 00:00,65503.0,66241.0,63412.46,65788.74,285.74,0.43,
07/24/2024 00:00,65900.8,67241.0,65090.61,65381.7,-519.1,-0.79,
07/23/2024 00:00,67595.2,67906.0,65430.7,65923.46,-1671.74,-2.54,
07/22/2024 00:00,68137.2,68560.0,66569.42,67607.19,-530.01,-0.78,
07/21/2024 00:00,67166.1,68479.0,65784.6,68157.02,990.92,1.45,
07/20/2024 00:00,66708.9,67694.0,66260.0,67172.76,463.86,0.69,
07/19/2024 00:00,63960.7,67504.22,63289.15,66718.11,2757.41,4.13,
07/18/2024 00:00,64120.1,65200.0,63222.6,63968.0,-152.1,-0.24,
07/17/2024 00:00,65077.1,66180.0,63853.1,64088.13,-988.97,-1.54,
07/16/2024 00:00,64757.16,65488.0,62410.33,65089.0,331.84,0.51,
07/15/2024 00:00,60810.0,65014.0,60666.59,64842.62,4032.62,6.22,
07/14/2024 00:00,59224.58,61535.0,59209.2,60786.08,1561.50,2.57,
07/13/2024 00:00,57890.1,60020.0,57752.4,59207.0,1316.9,2.22,
07/12/2024 00:00,57350.0,58653.0,56538.33,57890.52,540.52,0.93,
07/11/2024 00:00,57742.1,59654.0,57036.41,57350.08,-392.02,-0.68,
07/10/2024 00:00,58001.6,59606.0,57152.0,57751.8,-249.8,-0.43,
07/09/2024 00:00,56699.3,58422.0,56276.37,58021.79,1322.49,2.28,
07/08/2024 00:00,55845.4,58350.0,54278.93,56717.42,872.02,1.54,
07/07/2024 00:00,58234.9,58563.0,55717.23,55847.53,-2387.37,-4.27,
07/06/2024 00:00,56635.0,58532.0,0.0,58325.0,1690.0,2.90,
07/05/2024 00:00,57031.4,57615.0,53219.0,56652.01,-379.39,-0.67,
07/04/2024 00:00,60145.01,60550.0,56106.0,56986.24,-3158.77,-5.54,
07/03/2024 00:00,62020.0,62386.0,59332.76,60164.0,-1856.0,-3.08,
07/02/2024 00:00,62829.0,63331.0,61000.0,62027.68,-801.32,-1.29,
07/01/2024 00:00,62680.4,63911.0,62448.46,62856.0,175.6,0.28,
06/30/2024 00:00,60860.0,63131.0,60611.01,62712.5,1852.5,2.95,
