GBPJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/30/2024 00:00,197.814,199.469,197.46,198.552,73.8,0.37,
07/29/2024 00:00,198.334,198.604,196.75,197.831,-50.3,-0.25,
07/28/2024 00:00,197.9004874453323,198.45,197.777,198.326,42.55125546677,0.21,
07/26/2024 00:00,197.572,199.137,196.87,197.83,25.8,0.13,
07/25/2024 00:00,198.509,198.796,195.83,197.585,-92.4,-0.47,
07/24/2024 00:00,200.944,201.177,197.74,198.524,-242.0,-1.22,
07/23/2024 00:00,202.886,202.922,200.615,200.975,-191.1,-0.95,
07/22/2024 00:00,203.586,203.605260192067,201.87,202.9,-68.6,-0.34,
07/21/2024 00:00,203.166,203.595,203.166,203.587,42.1,0.21,
07/19/2024 00:00,203.497,204.218,202.944,203.35,-14.7,-0.07,
07/18/2024 00:00,202.501,204.09,202.2,203.49,98.9,0.49,
07/17/2024 00:00,205.511,205.689,202.098,202.501,-301.0,-1.49,
07/16/2024 00:00,205.099,205.788,205.029,205.508,40.9,0.20,
07/15/2024 00:00,205.247,205.308,204.147,205.109,-13.8,-0.07,
07/14/2024 00:00,204.913,205.406,204.842,205.254,34.1,0.17,
07/12/2024 00:00,204.531,206.336,204.127,205.2055333377041,67.45333377041,0.33,
07/11/2024 00:00,207.712,208.112,203.794,204.526,-318.6,-1.56,
07/10/2024 00:00,206.308,207.816,206.27,207.703,139.5,0.67,
07/09/2024 00:00,206.142,206.584,205.84,206.319,17.7,0.09,
07/08/2024 00:00,205.713,206.671,205.29,206.141,42.8,0.21,
07/07/2024 00:00,205.47,205.982,205.47,205.716,24.6,0.12,
07/05/2024 00:00,205.807,206.441,204.96,205.99,18.3,0.09,
07/04/2024 00:00,205.969,206.008,205.2441400484147,205.812,-15.7,-0.08,
07/03/2024 00:00,204.884,206.166,204.83,205.98,109.6,0.53,
07/02/2024 00:00,204.224,204.946,203.85,204.88,65.6,0.32,
07/01/2024 00:00,203.55,204.735,203.383,204.23,68,0.33,
06/30/2024 00:00,203.181,203.575,203.164,203.543,36.2,0.18,
06/28/2024 00:00,203.195,203.584,202.532,203.41,21.5,0.11,
06/27/2024 00:00,202.721,203.383,202.47,203.18,45.9,0.23,
06/26/2024 00:00,202.546,203.148,202.41,202.736,19.0,0.09,
06/25/2024 00:00,202.527,202.7614814814815,201.959,202.56,3.3,0.02,
06/24/2024 00:00,202.082,202.696,201.067,202.507,42.5,0.21,
06/23/2024 00:00,201.992726842681,202.09,201.781,202.076,8.3273157319,0.04,
06/21/2024 00:00,201.206,202.12,200.429,202.03,82.4,0.41,
06/20/2024 00:00,200.919,201.393,200.673,201.201,28.2,0.14,
06/19/2024 00:00,200.6,201.24,200.31,200.927,32.7,0.16,
06/18/2024 00:00,200.486,200.842,200.0,200.54,5.4,0.03,
06/17/2024 00:00,199.832,200.501,199.03,200.484,65.2,0.33,
06/16/2024 00:00,199.7306040920153,199.902,199.507155719837,199.82,8.93959079847,0.04,
06/14/2024 00:00,200.384,201.616,198.9,199.53,-85.4,-0.43,
