USDJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/29/2024 00:00,154.15,154.349,153.336,153.34,-81,-0.53,
07/28/2024 00:00,153.686,154.209,153.686,154.141,45.5,0.30,
07/26/2024 00:00,153.7,154.735,153.089,153.755,5.5,0.04,
07/25/2024 00:00,153.916,154.32,151.93,153.711,-20.5,-0.13,
07/24/2024 00:00,155.76,155.988,153.1,153.918,-184.2,-1.20,
07/23/2024 00:00,156.902,156.928,155.485,155.797,-110.5,-0.71,
07/22/2024 00:00,157.423,157.61,156.28,156.902,-52.1,-0.33,
07/21/2024 00:00,157.258,157.5,157.152,157.422,16.4,0.10,
07/19/2024 00:00,157.157,157.86,156.932,157.43,27.3,0.17,
07/18/2024 00:00,155.671,157.396,155.459,157.145,147.4,0.94,
07/17/2024 00:00,158.361,158.618,155.367,155.681,-268.0,-1.72,
07/16/2024 00:00,158.15,158.857,158.105,158.365,21.5,0.14,
07/15/2024 00:00,158.281,158.367,157.155,158.154,-12.7,-0.08,
07/14/2024 00:00,158.081,158.426,157.977,158.29,20.9,0.13,
07/12/2024 00:00,158.245,159.385,157.34,157.799,-44.6,-0.28,
07/11/2024 00:00,161.584,161.76,157.408,158.274,-331.0,-2.09,
07/10/2024 00:00,161.329,161.82,161.299,161.593,26.4,0.16,
07/09/2024 00:00,160.856,161.513,160.738,161.327,47.1,0.29,
07/08/2024 00:00,160.638,161.123,160.26,160.859,22.1,0.14,
07/07/2024 00:00,160.689,160.814,160.574,160.636,-5.3,-0.03,
07/05/2024 00:00,161.367,161.391,160.321,160.72,-64.7,-0.40,
07/04/2024 00:00,161.586,161.598,160.94,161.36,-22.6,-0.14,
07/03/2024 00:00,161.486,162.0,160.764,161.602,11.6,0.07,
07/02/2024 00:00,161.506,161.741,161.266,161.505,-0.1,0.00,
07/01/2024 00:00,160.928,161.729,160.749,161.513,58.5,0.36,
06/30/2024 00:00,160.665,160.94,160.665,160.927,26.2,0.16,
06/28/2024 00:00,160.702,161.281,160.257,160.874,17.2,0.11,
06/27/2024 00:00,160.627,160.821,160.27,160.707,8.0,0.05,
06/26/2024 00:00,159.689,160.87,159.662,160.634,94.5,0.59,
06/25/2024 00:00,159.699,159.77,159.183,159.698,-0.1,0.00,
06/24/2024 00:00,159.897,159.925,158.739,159.684,-21.3,-0.13,
06/23/2024 00:00,159.684,159.902,159.65,159.897,21.3,0.13,
06/21/2024 00:00,158.937,159.85,158.661,159.746,80.9,0.51,
06/20/2024 00:00,157.955,158.99,157.951,158.93,97.5,0.61,
06/19/2024 00:00,157.868,158.124,157.599,157.953,8.5,0.05,
06/18/2024 00:00,157.697,158.23,157.51,157.838,14.1,0.09,
06/17/2024 00:00,157.557,157.96,157.154,157.696,13.9,0.09,
06/16/2024 00:00,157.42,157.657,157.316,157.552,13.2,0.08,
06/14/2024 00:00,157.119,158.27,156.728,157.31,19.1,0.12,
06/13/2024 00:00,156.798,157.309,156.575,157.135,33.7,0.21,
06/12/2024 00:00,157.113,157.44,155.712,156.788,-32.5,-0.21,
06/11/2024 00:00,157.041,157.46,156.801,157.096,5.5,0.04,
06/10/2024 00:00,156.821,157.191,156.718,157.04,21.9,0.14,
06/09/2024 00:00,156.691,156.938,156.691,156.823,13.2,0.08,
06/07/2024 00:00,155.676,157.072,155.117,156.644,96.8,0.62,
06/06/2024 00:00,155.911,156.442,155.352,155.67,-24.1,-0.15,
06/05/2024 00:00,155.115,156.48,155.093,155.918,80.3,0.52,
06/04/2024 00:00,156.089,156.484,154.539,155.103,-98.6,-0.64,
06/03/2024 00:00,157.179,157.47,155.94,156.08,-109.9,-0.70,
06/02/2024 00:00,157.102,157.33,157.098,157.183,8.1,0.05,
05/31/2024 00:00,156.985,157.362,156.556,157.267,28.2,0.18,
05/30/2024 00:00,157.619,157.624,156.371,156.983,-63.6,-0.41,
05/29/2024 00:00,157.273,157.78,156.893,157.619,34.6,0.22,
05/28/2024 00:00,156.835,157.286,156.579,157.27,43.5,0.28,
05/27/2024 00:00,156.867,156.957,156.66,156.853,-1.4,-0.01,
05/26/2024 00:00,156.912,156.941,156.775,156.86,-5.2,-0.03,
05/24/2024 00:00,156.988,157.145,156.81,156.994,0.6,0.00,
05/23/2024 00:00,156.732,157.193,156.518,156.986,25.4,0.16,
05/22/2024 00:00,156.266,156.842,156.14,156.725,45.9,0.29,
05/21/2024 00:00,156.398,156.544,155.839,156.264,-13.4,-0.09,
05/20/2024 00:00,155.762,156.399,155.49,156.393,63.1,0.40,
05/19/2024 00:00,155.699,155.818,155.66,155.762,6.3,0.04,
05/17/2024 00:00,155.399,155.977,155.246,155.67,27.1,0.17,
05/16/2024 00:00,154.292,155.533,153.6,155.401,110.9,0.71,
05/15/2024 00:00,156.517,156.563,154.151,154.298,-221.9,-1.44,
05/14/2024 00:00,156.233,156.746,156.227,156.519,28.6,0.18,
05/13/2024 00:00,155.835,156.253,155.55,156.23,39.5,0.25,
05/12/2024 00:00,155.599,155.837,155.599,155.833,23.4,0.15,
05/10/2024 00:00,155.39,155.905,155.362,155.791,40.1,0.26,
05/09/2024 00:00,155.371,155.95,155.15,155.402,3.1,0.02,
05/08/2024 00:00,154.777,155.677,154.689,155.372,59.5,0.38,
05/07/2024 00:00,154.105,154.843,153.97,154.774,66.9,0.43,
05/06/2024 00:00,153.656,153.996,153.315,153.875,21.9,0.14,
05/05/2024 00:00,152.82,153.695,152.817,153.655,83.5,0.54,
05/03/2024 00:00,153.126,153.446,151.856,153.053,-7.3,-0.05,
05/02/2024 00:00,156.104,156.141,152.87,153.015,-308.9,-2.02,
05/01/2024 00:00,157.74,157.984,152.995,155.263,-247.7,-1.60,
04/30/2024 00:00,156.329,157.85,156.158,157.736,140.7,0.89,
04/29/2024 00:00,158.195,160.185,154.515,156.313,-188.2,-1.20,
04/28/2024 00:00,157.815,158.335,157.815,158.193,37.8,0.24,
04/26/2024 00:00,155.622,158.436,154.964,158.05,242.8,1.54,
04/25/2024 00:00,155.268,155.742,155.242,155.608,34.0,0.22,
04/24/2024 00:00,154.746,155.368,154.738,155.274,52.8,0.34,
04/23/2024 00:00,154.813,154.874,154.55,154.749,-6.4,-0.04,
04/22/2024 00:00,154.629,154.846,154.579,154.814,18.5,0.12,
04/21/2024 00:00,154.609,154.684,154.488,154.632,2.3,0.01,
04/19/2024 00:00,154.61,154.671,153.585,154.62,1,0.01,
04/18/2024 00:00,154.338,154.71,153.941,154.605,26.7,0.17,
04/17/2024 00:00,154.698,154.76,154.15,154.358,-34.0,-0.22,
04/16/2024 00:00,154.183,154.781,153.896,154.707,52.4,0.34,
04/15/2024 00:00,153.301,154.443,153.275,154.223,92.2,0.60,
04/14/2024 00:00,153.189,153.316,153.108,153.302,11.3,0.07,
04/12/2024 00:00,153.192,153.385,152.587,153.27,7.8,0.05,
04/11/2024 00:00,152.953,153.32,152.757,153.204,25.1,0.16,
04/10/2024 00:00,151.777,153.232,151.679,152.967,119.0,0.78,
04/09/2024 00:00,151.835,151.933,151.567,151.783,-5.2,-0.03,
04/08/2024 00:00,151.677,151.942,151.63,151.835,15.8,0.10,
04/07/2024 00:00,151.595,151.72,151.595,151.677,8.2,0.05,
04/05/2024 00:00,151.296,151.749,150.808,151.6,30.4,0.20,
04/04/2024 00:00,151.577,151.769,151.116,151.3,-27.7,-0.18,
